player_id,inducted,predicted
ohkato01,0.0,0.0
leonadu02,0.0,0.0
sutclri01,0.0,0.0
jayjo01,0.0,0.0
guantce01,0.0,0.0
cookde01,0.0,0.0
galvipu01,0.0,0.0
dierkla01,0.0,0.0
andujjo01,0.0,0.0
aquinlu01,0.0,0.0
walkebi01,0.0,0.0
lylesp01,0.0,0.0
cranddo01,0.0,0.0
vosbeed01,0.0,0.0
applepe01,0.0,0.0
meadobr01,0.0,0.0
larsedo01,0.0,0.0
tapanke01,0.0,0.0
grangwa01,0.0,0.0
powelja01,0.0,0.0
valenfe01,0.0,0.0
frencla01,0.0,0.0
hayneji01,0.0,0.0
dobsopa01,0.0,0.0
rixeyep01,0.0,0.0
lockebo02,0.0,0.0
rookeji01,0.0,0.0
piercbi02,0.0,0.0
zuberbi01,0.0,0.0
brownmo01,0.0,0.0
boevejo01,0.0,0.0
tylerle01,0.0,0.0
armasto02,0.0,0.0
blackew01,0.0,0.0
gibbojo01,0.0,0.0
fingero01,1.0,1.0
howest01,0.0,0.0
selmadi01,0.0,0.0
clevere01,0.0,0.0
beggsjo01,0.0,0.0
lampde01,0.0,0.0
bluevi01,0.0,0.0
mungova01,0.0,0.0
mclaide01,0.0,0.0
healyjo01,0.0,0.0
mcgafan01,0.0,0.0
nenro01,0.0,0.0
perryji01,0.0,0.0
blylebe01,1.0,1.0
linzyfr01,0.0,0.0
sambijo01,0.0,0.0
johnswa01,1.0,1.0
woodwi01,0.0,0.0
chrisja01,0.0,0.0
solomed01,0.0,0.0
curtijo01,0.0,0.0
bairdo01,0.0,0.0
durenry01,0.0,0.0
nagych01,0.0,0.0
gromest01,0.0,0.0
botteke01,0.0,0.0
jacksmi02,0.0,0.0
planked01,0.0,0.0
williwo02,0.0,0.0
mcgratu01,0.0,0.0
alvarwi01,0.0,0.0
bagbyji02,0.0,0.0
kruegbi01,0.0,0.0
mantema01,0.0,0.0
gullibi01,0.0,0.0
drewska01,0.0,0.0
jonesgo01,0.0,0.0
stratsc01,0.0,0.0
tewksbo01,0.0,0.0
wellsda01,0.0,0.0
slatoji01,0.0,0.0
hernaro01,0.0,0.0
herriar01,0.0,0.0
mathebo01,0.0,0.0
jeffcha01,0.0,0.0
juliojo01,0.0,0.0
jacksgr01,0.0,0.0
colboji01,0.0,0.0
guthrma01,0.0,0.0
burbada01,0.0,0.0
mcgloji01,0.0,0.0
ewingbo01,0.0,0.0
wilkste01,0.0,0.0
ruffibr01,0.0,0.0
butchma01,0.0,0.0
chakabo01,0.0,0.0
schumha02,0.0,0.0
tayloro01,0.0,0.0
scottja01,0.0,0.0
tiefebo01,0.0,0.0
magnami01,0.0,0.0
hillejo01,0.0,0.0
braxtga01,0.0,0.0
coneda01,0.0,0.0
hammoch01,0.0,0.0
jonesba01,0.0,0.0
medicdo01,0.0,0.0
niggejo01,0.0,0.0
eckerde01,1.0,1.0
delocik01,0.0,0.0
henrydo01,0.0,0.0
beckbo01,0.0,0.0
estessh01,0.0,0.0
aldresc01,0.0,0.0
lerchra01,0.0,0.0
pennohe01,1.0,0.0
mahlemi01,0.0,0.0
hermadu01,0.0,0.0
underto01,0.0,0.0
davisma01,0.0,0.0
lannijo01,0.0,0.0
shellji01,0.0,0.0
dietrbi01,0.0,0.0
henrydw01,0.0,0.0
kekicmi01,0.0,0.0
torresa01,0.0,0.0
lopezal02,0.0,0.0
foulkke01,0.0,0.0
hitchst01,0.0,0.0
monbobi01,0.0,0.0
eischjo01,0.0,0.0
mastewa02,0.0,0.0
