player_id,inn_outs,po,a,e,dp,zr,FPCT%,RF,CS%
ownberi01,440.0,7.0,18.0,5.0,1.0,0.0,0.8333333333333334,0.5113636363636364,
oxleyhe01,0.0,11.0,6.0,2.0,0.0,0.0,0.8947368421052632,inf,
oxsprch01,36.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,
oyleran01,0.0,34.0,30.0,4.0,2.0,0.0,0.9411764705882353,inf,
oylerra01,10929.0,673.0,1219.0,66.0,200.0,0.0,0.9662921348314607,1.5580565468020862,
ozmerdo01,0.0,1.0,1.0,0.0,0.0,0.0,1.0,inf,
ozunama01,5814.0,1142.0,33.0,13.0,6.0,0.0,0.9890572390572391,1.8188854489164086,
ozunapa01,4278.0,237.0,300.0,23.0,43.0,0.0,0.9589285714285715,1.129733520336606,
paborch01,0.0,338.0,30.0,99.0,4.0,0.0,0.7880085653104925,inf,
pabsted01,0.0,29.0,6.0,1.0,0.0,0.0,0.9722222222222222,inf,
paceljo01,575.0,14.0,17.0,3.0,0.0,0.0,0.9117647058823529,0.4852173913043478,
pacheal01,17.0,0.0,0.0,0.0,0.0,0.0,,0.0,
pachejo01,5805.0,1282.0,225.0,27.0,86.0,0.0,0.9823989569752282,2.336434108527132,0.11764705882352941
pacilpa01,151.0,2.0,6.0,1.0,0.0,0.0,0.8888888888888888,0.4768211920529801,
pacioji01,785.0,120.0,22.0,8.0,12.0,0.0,0.9466666666666667,1.6280254777070065,
paciojo01,54.0,4.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,
pacioto01,41887.0,5471.0,308.0,79.0,287.0,0.0,0.9865141686582451,1.2416979014968845,
package01,0.0,91.0,476.0,23.0,23.0,0.0,0.9610169491525423,inf,
pactwjo01,49.0,0.0,2.0,0.0,0.0,0.0,1.0,0.3673469387755102,
paddedi01,0.0,2153.0,2596.0,277.0,304.0,0.0,0.9448865897333864,inf,
paddeto01,0.0,1482.0,222.0,41.0,19.0,0.0,0.9765042979942693,inf,
paddode01,0.0,55.0,73.0,16.0,4.0,0.0,0.8888888888888888,inf,
padgedo01,0.0,1493.0,128.0,60.0,35.0,0.0,0.9643069601427722,inf,
padgeer01,0.0,313.0,508.0,35.0,73.0,0.0,0.9591121495327103,inf,
padiljo01,123.0,10.0,1.0,0.0,0.0,0.0,1.0,0.8048780487804879,
padilju01,183.0,2.0,9.0,0.0,3.0,0.0,1.0,0.5409836065573771,
padilvi01,4712.0,90.0,204.0,17.0,12.0,0.0,0.9453376205787781,0.5615449915110357,
paepkde01,1699.0,259.0,21.0,8.0,2.0,0.0,0.9722222222222222,1.483225426721601,0.3333333333333333
pafkoan01,18877.0,4073.0,609.0,112.0,71.0,0.0,0.9766374634960368,2.232240292419346,
paganan01,19524.0,2260.0,42.0,34.0,10.0,0.0,0.985445205479452,1.0611555009219422,
paganda01,697.0,19.0,20.0,2.0,0.0,0.0,0.9512195121951219,0.503586800573888,
paganjo01,27434.0,1580.0,2298.0,157.0,360.0,0.0,0.961090458488228,1.2722169570605817,
pagejo01,29.0,17.0,104.0,8.0,4.0,0.0,0.937984496124031,37.55172413793103,
pagelka01,198.0,58.0,8.0,3.0,7.0,0.0,0.9565217391304348,3.0,
pagemi01,210.0,10.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,
pagemi02,12412.0,1016.0,30.0,40.0,0.0,0.0,0.9631675874769797,0.7584595552690945,
pageph01,0.0,9.0,16.0,2.0,3.0,0.0,0.9259259259259259,inf,
pagesa01,0.0,0.0,6.0,0.0,1.0,0.0,1.0,inf,
pageva01,0.0,16.0,85.0,1.0,2.0,0.0,0.9901960784313726,inf,
pagliji01,18424.0,4153.0,302.0,41.0,50.0,7.0,0.9908807829181495,2.176237516283109,0.3248847926267281
paglimi01,28165.0,790.0,2129.0,134.0,202.0,0.0,0.9561087454962333,0.932753417361974,
pagnoma01,735.0,170.0,14.0,2.0,2.0,0.0,0.989247311827957,2.253061224489796,0.24242424242424243
pagnoto01,20843.0,4382.0,407.0,38.0,62.0,4.0,0.9921276154961673,2.0678884997361227,0.37135614702154623
paigepa01,0.0,2.0,7.0,0.0,0.0,0.0,1.0,inf,
paigesa01,9.0,17.0,62.0,0.0,3.0,0.0,1.0,79.0,
paineph01,344.0,9.0,25.0,4.0,0.0,0.0,0.8947368421052632,0.8895348837209303,
