player_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS
abstebi01,170,619.0,54.0,150.0,22.0,10.0,1.0,76.0,21.0,0.0,0.0,0.0,33.0,29.0,195.0,33.0,0.242,0.269,0.315,0.584
accarje01,262,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.143,0.143,0.143,0.286
aceveal01,204,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acevejo01,104,101.0,2.0,8.0,2.0,0.0,0.0,4.0,0.0,0.0,61.0,2.0,6.0,13.0,10.0,2.0,0.079,0.117,0.099,0.216
aceveju01,367,65.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,3.0,6.0,8.0,2.0,0.092,0.122,0.123,0.245
ackerji01,467,54.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,32.0,1.0,2.0,0.0,10.0,1.0,0.167,0.196,0.185,0.381
ackerto01,153,77.0,10.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,1.0,13.0,6.0,5.0,0.0,0.065,0.188,0.065,0.253
ackledu01,607,2064.0,255.0,503.0,94.0,18.0,46.0,212.0,31.0,12.0,410.0,25.0,201.0,22.0,771.0,158.0,0.244,0.308,0.374,0.682
acklefr01,5,6.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,1.0,0.333,0.429,0.5,0.929
acostcy01,107,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acosted01,57,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.034,0.067,0.034,0.101
acostjo01,55,60.0,4.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,11.0,3.0,10.0,1.0,0.15,0.27,0.167,0.437
acostma01,233,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.143,0.0,0.143
acostme01,180,436.0,56.0,111.0,9.0,7.0,0.0,37.0,17.0,8.0,46.0,0.0,67.0,19.0,134.0,16.0,0.255,0.341,0.307,0.648
adairje01,1165,4019.0,378.0,1022.0,163.0,19.0,57.0,366.0,29.0,29.0,499.0,149.0,256.0,71.0,1394.0,239.0,0.254,0.294,0.347,0.641
adairji01,18,76.0,9.0,21.0,3.0,1.0,0.0,3.0,1.0,0.0,8.0,0.0,1.0,2.0,26.0,4.0,0.276,0.278,0.342,0.62
adamecr01,33,68.0,5.0,14.0,1.0,1.0,0.0,3.0,0.0,1.0,16.0,1.0,5.0,1.0,17.0,2.0,0.206,0.257,0.25,0.507
adamsac01,302,99.0,9.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,2.0,6.0,8.0,12.0,0.0,0.121,0.159,0.121,0.28
adamsau01,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsba01,482,1019.0,79.0,216.0,31.0,15.0,3.0,75.0,1.0,1.0,177.0,0.0,54.0,35.0,286.0,49.0,0.212,0.244,0.281,0.525
adamsbe01,267,678.0,37.0,137.0,17.0,4.0,2.0,45.0,9.0,0.0,79.0,0.0,24.0,23.0,168.0,23.0,0.202,0.222,0.248,0.47
adamsbo01,2,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.333,0.333,0.666
adamsbo02,5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsbo03,1281,4019.0,591.0,1082.0,188.0,49.0,37.0,303.0,67.0,30.0,447.0,62.0,432.0,83.0,1479.0,274.0,0.269,0.334,0.368,0.702
adamsbo04,15,24.0,2.0,6.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,3.0,0.25,0.25,0.542,0.792
adamsbu01,576,2003.0,282.0,532.0,96.0,12.0,50.0,249.0,12.0,0.0,281.0,35.0,247.0,42.0,802.0,158.0,0.266,0.34,0.4,0.74
adamsda01,47,55.0,1.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,18.0,0.0,3.0,1.0,11.0,1.0,0.145,0.186,0.2,0.386
adamsda02,43,140.0,10.0,27.0,5.0,1.0,2.0,13.0,0.0,0.0,43.0,4.0,11.0,1.0,40.0,8.0,0.193,0.25,0.286,0.536
adamsdi01,37,89.0,9.0,18.0,2.0,3.0,2.0,11.0,0.0,0.0,18.0,0.0,2.0,2.0,32.0,7.0,0.202,0.215,0.36,0.575
adamsdo01,8,14.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,0.214,0.267,0.214,0.481
adamsge01,4,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.231,0.286,0.231,0.517
adamsgl01,661,1617.0,152.0,452.0,79.0,5.0,34.0,225.0,6.0,10.0,183.0,47.0,123.0,28.0,643.0,118.0,0.28,0.325,0.398,0.723
adamshe01,95,337.0,39.0,88.0,8.0,6.0,0.0,18.0,4.0,2.0,24.0,5.0,24.0,3.0,108.0,14.0,0.261,0.308,0.32,0.628
adamsji01,1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.5
adamsjo01,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsjo02,44,10.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.3,0.273,0.4,0.673
