player_id,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB
avreaja01,0,0,2,0,0,0,16.0,6,2,0,2,3.0,3.38,1.688,0.273,3.38,5.06,0.67
axelrdy01,9,15,59,0,0,0,686.0,269,134,43,164,101.0,5.27,1.618,0.293,6.45,3.98,1.62
axforjo01,28,28,403,0,0,141,1152.0,339,150,35,454,215.0,3.52,1.443,0.237,10.64,5.04,2.11
ayalabo01,37,44,406,0,0,59,1728.0,581,306,71,541,293.0,4.78,1.517,0.259,8.45,4.58,1.85
ayalalu01,38,47,534,0,0,19,1663.0,581,206,54,367,198.0,3.34,1.405,0.278,5.96,3.21,1.85
aybarma01,17,18,208,0,0,3,1173.0,413,222,49,273,198.0,5.11,1.563,0.269,6.28,4.56,1.38
aydelja01,5,9,14,13,0,0,372.0,150,66,0,35,41.0,4.79,1.54,0.285,2.54,2.98,0.85
ayersbi01,0,3,13,0,0,1,106.0,46,32,7,22,15.0,8.15,1.726,0.315,5.6,3.82,1.47
ayersdo01,65,79,299,58,17,15,4286.0,1357,451,23,622,432.0,2.84,1.252,0.257,3.92,2.72,1.44
ayraubo01,5,3,54,0,0,0,220.0,68,33,2,42,38.0,4.05,1.445,0.244,5.15,4.66,1.11
babcobo01,2,3,39,0,0,0,172.0,48,25,6,39,36.0,3.92,1.465,0.229,6.12,5.65,1.08
babicjo01,30,45,112,34,3,1,1776.0,657,324,38,231,229.0,4.93,1.497,0.275,3.51,3.48,1.01
backebr01,31,29,145,1,1,0,1576.0,574,305,87,360,265.0,5.23,1.597,0.282,6.17,4.54,1.36
backmle01,9,18,47,12,0,2,733.0,263,98,5,76,97.0,3.61,1.473,0.284,2.8,3.57,0.78
baconed01,0,0,1,0,0,0,18.0,5,4,0,0,7.0,6.0,2.0,0.238,0.0,10.5,0.0
bacsimi01,8,6,73,0,0,0,518.0,190,85,12,77,87.0,4.43,1.604,0.278,4.01,4.53,0.89
bacsimi02,10,13,51,1,0,0,648.0,261,131,41,97,80.0,5.46,1.579,0.302,4.04,3.33,1.21
baczefr01,17,10,63,14,2,1,838.0,306,138,38,104,114.0,4.45,1.504,0.277,3.35,3.67,0.91
badenbu01,20,27,418,0,0,4,1537.0,519,213,35,350,198.0,3.74,1.399,0.27,6.15,3.48,1.77
baderlo01,5,3,22,3,1,1,226.0,83,21,2,27,41.0,2.51,1.646,0.279,3.23,4.9,0.66
baeched01,5,6,64,3,0,0,481.0,200,99,9,61,89.0,5.56,1.802,0.3,3.42,5.0,0.69
