,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS,VOTE%,inducted
browndi01,636.0,1866.0,175.0,455.0,62.0,3.0,62.0,223.0,7.0,6.0,356.0,46.0,160.0,34.0,709.0,127.0,0.244,0.299,0.38,0.679,,
browndo01,493.0,1591.0,188.0,391.0,73.0,9.0,54.0,229.0,23.0,7.0,317.0,25.0,156.0,14.0,644.0,136.0,0.24600000000000002,0.311,0.405,0.716,,
browndr01,123.0,319.0,20.0,77.0,14.0,1.0,2.0,33.0,4.0,0.0,38.0,0.0,24.0,13.0,99.0,17.0,0.24100000000000002,0.284,0.31,0.594,,
browndu01,25.0,43.0,3.0,7.0,1.0,0.0,1.0,3.0,1.0,0.0,12.0,1.0,2.0,1.0,11.0,2.0,0.163,0.196,0.256,0.452,,
brownea01,143.0,461.0,59.0,131.0,26.0,5.0,6.0,69.0,4.0,0.0,64.0,13.0,33.0,6.0,185.0,37.0,0.284,0.32799999999999996,0.401,0.7290000000000001,,
browned01,59.0,213.0,17.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,41.0,3.0,0.17800000000000002,0.201,0.192,0.39299999999999996,,
browned02,790.0,2902.0,341.0,878.0,170.0,33.0,16.0,407.0,29.0,9.0,109.0,0.0,139.0,85.0,1162.0,219.0,0.303,0.325,0.4,0.725,,
brownem01,739.0,2249.0,296.0,581.0,112.0,12.0,59.0,326.0,52.0,14.0,468.0,59.0,239.0,30.0,894.0,183.0,0.258,0.326,0.39799999999999996,0.7240000000000001,0.0,0.0
brownfr01,9.0,20.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.25,0.45,,
brownga01,1051.0,2262.0,330.0,582.0,78.0,19.0,84.0,322.0,30.0,8.0,275.0,54.0,275.0,26.0,950.0,181.0,0.257,0.33399999999999996,0.42,0.754,0.002493765586034913,0.0
brownga02,7.0,7.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.429,0.429,0.429,0.858,,
brownge01,1102.0,4300.0,614.0,1176.0,119.0,55.0,18.0,303.0,190.0,0.0,1.0,0.0,279.0,138.0,1459.0,192.0,0.273,0.308,0.33899999999999997,0.647,0.0,0.0
brownik01,280.0,536.0,85.0,137.0,15.0,4.0,20.0,65.0,3.0,7.0,130.0,20.0,100.0,15.0,220.0,39.0,0.256,0.364,0.41,0.774,,
brownja02,41.0,43.0,6.0,9.0,3.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,5.0,0.0,12.0,3.0,0.209,0.292,0.27899999999999997,0.5710000000000001,,
brownja03,155.0,227.0,44.0,46.0,11.0,2.0,1.0,10.0,13.0,7.0,49.0,5.0,33.0,8.0,64.0,14.0,0.203,0.295,0.282,0.5770000000000001,,
brownje01,982.0,3190.0,431.0,866.0,135.0,25.0,23.0,288.0,73.0,45.0,325.0,65.0,420.0,111.0,1120.0,183.0,0.271,0.34600000000000003,0.35100000000000003,0.6970000000000001,0.0,0.0
brownje02,5.0,10.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,0.3,0.364,0.5,0.8640000000000001,,
brownji02,15.0,44.0,6.0,11.0,2.0,1.0,1.0,5.0,0.0,0.0,10.0,0.0,6.0,3.0,18.0,4.0,0.25,0.321,0.409,0.73,,
brownji03,890.0,3512.0,465.0,980.0,146.0,42.0,9.0,319.0,39.0,0.0,110.0,64.0,243.0,77.0,1237.0,197.0,0.27899999999999997,0.319,0.35200000000000004,0.6709999999999999,,
brownjo05,40.0,102.0,9.0,23.0,8.0,0.0,0.0,7.0,0.0,0.0,11.0,3.0,6.0,1.0,31.0,8.0,0.225,0.266,0.304,0.57,,
brownke04,85.0,189.0,30.0,48.0,12.0,2.0,7.0,31.0,0.0,0.0,59.0,2.0,18.0,8.0,85.0,21.0,0.254,0.307,0.45,0.757,,
brownla01,1129.0,3449.0,331.0,803.0,108.0,13.0,47.0,254.0,22.0,23.0,414.0,95.0,365.0,83.0,1078.0,168.0,0.233,0.3,0.313,0.613,0.0,0.0
brownle01,378.0,1531.0,205.0,379.0,83.0,31.0,10.0,169.0,0.0,0.0,155.0,0.0,45.0,0.0,554.0,124.0,0.248,0.26899999999999996,0.36200000000000004,0.631,0.0,0.0
brownle02,64.0,70.0,11.0,15.0,3.0,0.0,0.0,2.0,2.0,4.0,4.0,3.0,4.0,0.0,18.0,3.0,0.214,0.257,0.257,0.514,,
brownli01,48.0,115.0,16.0,31.0,3.0,1.0,0.0,6.0,1.0,0.0,17.0,4.0,3.0,3.0,36.0,4.0,0.27,0.281,0.313,0.594,,
brownma03,35.0,61.0,3.0,11.0,2.0,0.0,0.0,6.0,0.0,1.0,18.0,1.0,6.0,1.0,13.0,2.0,0.18,0.25,0.213,0.46299999999999997,,
brownma05,15.0,24.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,11.0,0.0,3.0,0.0,2.0,1.0,0.042,0.14800000000000002,0.083,0.231,,
