,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS,VOTE%,inducted
bowliwe01,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,,
bowmabi01,15.0,45.0,2.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,6.0,0.0,5.0,1.0,0.08900000000000001,0.196,0.111,0.307,,
bowmabo02,256.0,519.0,71.0,129.0,19.0,5.0,17.0,54.0,0.0,1.0,109.0,11.0,57.0,11.0,209.0,41.0,0.249,0.317,0.40299999999999997,0.72,,
bowmael01,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,,
bowmaer01,165.0,205.0,29.0,39.0,4.0,2.0,1.0,10.0,3.0,3.0,33.0,4.0,3.0,9.0,50.0,7.0,0.19,0.19399999999999998,0.244,0.43799999999999994,,
bowsere01,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
boydbi01,147.0,661.0,93.0,192.0,30.0,9.0,3.0,93.0,6.0,3.0,11.0,0.0,10.0,0.0,249.0,42.0,0.29,0.301,0.377,0.6779999999999999,,
boydbo01,693.0,1936.0,253.0,567.0,81.0,23.0,19.0,175.0,9.0,17.0,114.0,39.0,182.0,42.0,751.0,123.0,0.293,0.34700000000000003,0.38799999999999996,0.735,0.0,0.0
boydfr01,2.0,5.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.2,0.33299999999999996,0.4,0.733,,
boyercl02,1725.0,5780.0,645.0,1396.0,200.0,33.0,162.0,654.0,41.0,28.0,931.0,136.0,569.0,90.0,2148.0,395.0,0.242,0.305,0.37200000000000005,0.677,0.006944444444444444,0.0
boyerke01,2034.0,7455.0,1104.0,2143.0,318.0,68.0,282.0,1141.0,105.0,77.0,1017.0,185.0,830.0,80.0,3443.0,668.0,0.287,0.355,0.462,0.8170000000000001,0.2552693208430913,0.0
boylado01,21.0,19.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,0.105,0.15,0.105,0.255,,
boylebu01,366.0,1343.0,185.0,389.0,58.0,24.0,12.0,125.0,24.0,0.0,125.0,13.0,119.0,12.0,531.0,94.0,0.29,0.345,0.395,0.74,,
boyleed01,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,,
boyleja01,1086.0,4222.0,668.0,1067.0,137.0,54.0,23.0,569.0,125.0,0.0,234.0,0.0,387.0,28.0,1381.0,214.0,0.253,0.314,0.327,0.6409999999999999,0.0,0.0
boyleja02,15.0,25.0,4.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,8.0,1.0,0.28,0.308,0.32,0.628,,
brackgi01,315.0,980.0,150.0,273.0,70.0,18.0,16.0,113.0,13.0,0.0,186.0,15.0,93.0,8.0,427.0,104.0,0.27899999999999997,0.33899999999999997,0.436,0.775,,
bradfbu01,697.0,1605.0,224.0,363.0,50.0,8.0,52.0,175.0,36.0,24.0,411.0,43.0,219.0,23.0,585.0,110.0,0.226,0.315,0.364,0.679,0.0,0.0
bradfvi01,6.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.33299999999999996,0.2,0.5329999999999999,,
bradlal01,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,,
bradlbi01,1461.0,5430.0,754.0,1471.0,275.0,84.0,33.0,552.0,181.0,0.0,18.0,0.0,363.0,253.0,2013.0,392.0,0.271,0.303,0.371,0.674,0.02487562189054726,0.0
bradlge02,4.0,12.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.16699999999999998,0.16699999999999998,0.25,0.41700000000000004,,
bradlhu01,277.0,913.0,84.0,238.0,46.0,12.0,2.0,117.0,23.0,0.0,44.0,0.0,71.0,39.0,314.0,60.0,0.261,0.302,0.344,0.6459999999999999,,
bradlja01,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
bradlja02,238.0,700.0,106.0,149.0,41.0,6.0,14.0,83.0,13.0,0.0,221.0,16.0,79.0,7.0,244.0,61.0,0.213,0.29,0.349,0.639,,
bradlma01,90.0,113.0,13.0,23.0,5.0,0.0,3.0,5.0,4.0,2.0,36.0,2.0,12.0,0.0,37.0,8.0,0.204,0.28,0.327,0.607,,
bradlmi01,1042.0,3605.0,541.0,976.0,202.0,17.0,125.0,481.0,88.0,40.0,817.0,91.0,578.0,33.0,1587.0,344.0,0.271,0.369,0.44,0.809,,
bradlph01,1022.0,3695.0,565.0,1058.0,179.0,43.0,78.0,376.0,155.0,62.0,718.0,81.0,515.0,57.0,1557.0,300.0,0.28600000000000003,0.369,0.42100000000000004,0.79,,
bradlsc01,604.0,1648.0,149.0,424.0,75.0,6.0,18.0,184.0,3.0,6.0,110.0,52.0,129.0,38.0,565.0,99.0,0.257,0.305,0.34299999999999997,0.648,0.0,0.0
bradsda01,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
bradsge01,10.0,23.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,2.0,0.0,7.0,2.0,0.217,0.28,0.304,0.584,,
bradste01,34.0,65.0,10.0,17.0,2.0,1.0,0.0,5.0,1.0,3.0,12.0,0.0,5.0,1.0,21.0,3.0,0.262,0.31,0.32299999999999995,0.633,,
brady01,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.25,0.25,0.75,1.0,,
bradybo01,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.16699999999999998,0.28600000000000003,0.16699999999999998,0.45299999999999996,,
bradybr01,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.5,0.5,1.0,1.5,,
bradycl01,53.0,180.0,16.0,41.0,5.0,1.0,0.0,12.0,0.0,1.0,12.0,0.0,14.0,6.0,48.0,6.0,0.228,0.275,0.267,0.542,,
bradydo01,12.0,21.0,4.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,2.0,0.0,5.0,1.0,0.19,0.261,0.23800000000000002,0.499,,
bradyst01,490.0,2030.0,313.0,529.0,50.0,20.0,4.0,114.0,22.0,2.0,15.0,0.0,103.0,0.0,631.0,74.0,0.261,0.29600000000000004,0.311,0.607,,
bragabo01,597.0,1900.0,136.0,456.0,62.0,12.0,15.0,172.0,12.0,0.0,117.0,54.0,112.0,39.0,587.0,89.0,0.24,0.27699999999999997,0.309,0.586,,
braggda01,916.0,2461.0,341.0,627.0,145.0,14.0,46.0,260.0,56.0,24.0,570.0,54.0,346.0,45.0,938.0,205.0,0.255,0.341,0.381,0.722,0.0,0.0
bragggl01,692.0,2336.0,308.0,601.0,102.0,16.0,70.0,321.0,58.0,26.0,472.0,63.0,257.0,38.0,945.0,188.0,0.257,0.326,0.405,0.731,,
brainda01,679.0,2543.0,254.0,641.0,97.0,52.0,27.0,303.0,73.0,0.0,0.0,0.0,145.0,55.0,923.0,176.0,0.252,0.287,0.363,0.65,,
brainfr01,95.0,261.0,32.0,51.0,7.0,2.0,1.0,21.0,6.0,7.0,44.0,0.0,23.0,4.0,65.0,10.0,0.195,0.257,0.249,0.506,,
bramhar01,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
brancal01,282.0,930.0,117.0,199.0,37.0,11.0,4.0,80.0,5.0,6.0,92.0,24.0,99.0,9.0,270.0,52.0,0.214,0.287,0.29,0.5770000000000001,,
brandja01,1221.0,3895.0,540.0,1020.0,175.0,37.0,112.0,485.0,45.0,30.0,574.0,75.0,383.0,60.0,1605.0,324.0,0.262,0.32299999999999995,0.41200000000000003,0.735,0.0,0.0
brandro01,568.0,1345.0,108.0,322.0,34.0,7.0,3.0,106.0,20.0,13.0,126.0,42.0,142.0,29.0,379.0,44.0,0.239,0.306,0.282,0.588,,
brannmi01,5.0,23.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.087,0.087,0.087,0.174,,
brannot01,158.0,534.0,72.0,133.0,19.0,3.0,11.0,74.0,3.0,9.0,23.0,0.0,68.0,25.0,191.0,33.0,0.249,0.321,0.358,0.679,,
branodu01,30.0,94.0,8.0,22.0,1.0,0.0,0.0,13.0,2.0,1.0,5.0,0.0,2.0,6.0,23.0,1.0,0.23399999999999999,0.235,0.245,0.48,,
bransje01,694.0,1555.0,173.0,383.0,72.0,11.0,34.0,156.0,9.0,5.0,312.0,36.0,151.0,39.0,579.0,117.0,0.24600000000000002,0.306,0.37200000000000005,0.6779999999999999,0.0,0.0
branski01,1330.0,4999.0,529.0,1351.0,225.0,75.0,13.0,637.0,175.0,0.0,41.0,0.0,245.0,142.0,1765.0,313.0,0.27,0.29600000000000004,0.353,0.649,0.0,0.0
brantma01,8.0,20.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,,
brantmi01,302.0,1138.0,154.0,295.0,56.0,8.0,32.0,125.0,34.0,14.0,136.0,18.0,69.0,15.0,463.0,96.0,0.259,0.298,0.40700000000000003,0.705,,
brantmi02,807.0,3108.0,402.0,909.0,190.0,16.0,61.0,393.0,94.0,26.0,363.0,68.0,313.0,40.0,1314.0,267.0,0.292,0.353,0.423,0.7759999999999999,,
brantro01,112.0,356.0,28.0,80.0,18.0,0.0,5.0,32.0,1.0,1.0,77.0,10.0,35.0,4.0,113.0,23.0,0.225,0.29100000000000004,0.317,0.608,,
branyru01,1059.0,2934.0,405.0,682.0,143.0,8.0,194.0,467.0,16.0,4.0,1118.0,31.0,463.0,31.0,1423.0,345.0,0.23199999999999998,0.33399999999999996,0.485,0.8190000000000001,,
brashro01,130.0,463.0,45.0,124.0,11.0,2.0,1.0,44.0,11.0,0.0,0.0,0.0,39.0,15.0,142.0,14.0,0.268,0.315,0.307,0.622,,
bratcjo01,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
bratsfr01,89.0,196.0,12.0,54.0,11.0,1.0,0.0,22.0,0.0,1.0,17.0,0.0,15.0,1.0,67.0,12.0,0.276,0.325,0.342,0.667,,
braunry02,1219.0,4738.0,799.0,1441.0,294.0,40.0,255.0,846.0,165.0,45.0,972.0,115.0,523.0,30.0,2580.0,589.0,0.304,0.371,0.545,0.9159999999999999,,
braunst01,1425.0,3650.0,466.0,989.0,155.0,19.0,52.0,388.0,45.0,27.0,433.0,77.0,628.0,49.0,1338.0,226.0,0.271,0.374,0.36700000000000005,0.741,0.0,0.0
bravoan01,149.0,218.0,26.0,54.0,7.0,3.0,1.0,12.0,2.0,2.0,31.0,1.0,23.0,6.0,70.0,11.0,0.248,0.312,0.321,0.633,,
braybu01,4.0,11.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.091,0.16699999999999998,0.182,0.349,,
brazecr01,29.0,38.0,4.0,10.0,2.0,0.0,1.0,3.0,0.0,0.0,8.0,1.0,2.0,0.0,15.0,3.0,0.263,0.3,0.395,0.695,,
brazifr01,72.0,190.0,17.0,49.0,3.0,1.0,0.0,20.0,2.0,4.0,22.0,0.0,25.0,4.0,54.0,4.0,0.258,0.33799999999999997,0.284,0.622,,
breamsi01,1088.0,3108.0,351.0,819.0,191.0,12.0,90.0,455.0,50.0,40.0,450.0,75.0,403.0,64.0,1304.0,293.0,0.264,0.342,0.42,0.762,0.0,0.0
breazji01,89.0,179.0,20.0,40.0,5.0,0.0,9.0,33.0,0.0,1.0,25.0,4.0,17.0,2.0,72.0,14.0,0.223,0.28800000000000003,0.402,0.69,,
bredebr01,169.0,422.0,50.0,106.0,20.0,5.0,5.0,40.0,8.0,2.0,86.0,8.0,51.0,2.0,151.0,30.0,0.251,0.331,0.358,0.6890000000000001,,
breedda01,28.0,73.0,3.0,11.0,1.0,0.0,0.0,5.0,0.0,0.0,21.0,2.0,10.0,7.0,12.0,1.0,0.151,0.233,0.16399999999999998,0.397,,
breedha01,273.0,608.0,61.0,148.0,28.0,6.0,21.0,76.0,0.0,2.0,107.0,16.0,78.0,5.0,251.0,55.0,0.243,0.327,0.413,0.74,,
breedma01,415.0,1268.0,154.0,317.0,50.0,5.0,7.0,92.0,19.0,9.0,180.0,12.0,73.0,14.0,398.0,62.0,0.25,0.28800000000000003,0.314,0.602,,
bremehe01,70.0,193.0,16.0,41.0,6.0,1.0,2.0,18.0,1.0,0.0,42.0,2.0,11.0,4.0,55.0,9.0,0.212,0.25,0.285,0.535,,
brenlbo01,871.0,2615.0,321.0,647.0,119.0,7.0,91.0,333.0,45.0,38.0,438.0,50.0,370.0,45.0,1053.0,217.0,0.247,0.336,0.40299999999999997,0.7390000000000001,0.0,0.0
brennji01,183.0,705.0,87.0,155.0,15.0,8.0,0.0,48.0,12.0,0.0,45.0,0.0,45.0,0.0,186.0,23.0,0.22,0.267,0.264,0.531,,
brentbr01,9.0,26.0,5.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,10.0,2.0,0.308,0.308,0.385,0.693,,
brenzbi01,76.0,217.0,16.0,43.0,9.0,1.0,0.0,19.0,2.0,2.0,15.0,0.0,8.0,8.0,54.0,10.0,0.198,0.21899999999999997,0.249,0.46799999999999997,,
bresnro01,1446.0,4481.0,682.0,1252.0,218.0,71.0,26.0,530.0,212.0,3.0,99.0,0.0,781.0,112.0,1690.0,315.0,0.27899999999999997,0.37799999999999995,0.377,0.755,0.5384615384615384,0.0
bressed01,1186.0,3672.0,443.0,925.0,184.0,40.0,94.0,365.0,9.0,13.0,723.0,74.0,415.0,63.0,1471.0,318.0,0.252,0.32299999999999995,0.401,0.7240000000000001,0.0,0.0
bressru01,1305.0,3881.0,544.0,1170.0,164.0,87.0,32.0,586.0,47.0,21.0,246.0,0.0,477.0,140.0,1604.0,283.0,0.301,0.366,0.413,0.779,0.0,0.0
bretoji01,109.0,297.0,25.0,59.0,9.0,3.0,0.0,27.0,11.0,7.0,56.0,0.0,33.0,18.0,74.0,12.0,0.19899999999999998,0.264,0.249,0.513,,
brettge01,2707.0,10349.0,1583.0,3154.0,665.0,137.0,317.0,1595.0,201.0,97.0,908.0,235.0,1358.0,146.0,5044.0,1119.0,0.305,0.381,0.48700000000000004,0.868,0.9818913480885312,1.0
brettry01,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.667,0.75,1.0,1.75,,
brewemi01,12.0,18.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,4.0,1.0,0.16699999999999998,0.25,0.222,0.47200000000000003,,
brewero01,172.0,288.0,30.0,80.0,15.0,0.0,2.0,33.0,1.0,1.0,47.0,7.0,32.0,5.0,101.0,17.0,0.278,0.345,0.35100000000000003,0.696,,
breweto02,24.0,37.0,3.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,9.0,1.0,5.0,0.0,8.0,2.0,0.10800000000000001,0.214,0.21600000000000003,0.43,,
brewsch01,69.0,213.0,17.0,47.0,4.0,0.0,0.0,14.0,1.0,0.0,28.0,3.0,18.0,5.0,51.0,4.0,0.221,0.275,0.239,0.514,,
brickfr01,501.0,1448.0,221.0,407.0,54.0,23.0,6.0,131.0,19.0,0.0,121.0,0.0,117.0,16.0,525.0,83.0,0.281,0.331,0.363,0.6940000000000001,,
brickfr02,41.0,88.0,7.0,16.0,1.0,0.0,1.0,7.0,0.0,0.0,19.0,5.0,7.0,1.0,20.0,2.0,0.182,0.24,0.22699999999999998,0.467,,
brickge01,5.0,12.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,1.0,0.16699999999999998,0.231,0.33299999999999996,0.564,,
brideji01,329.0,620.0,79.0,156.0,22.0,6.0,1.0,50.0,6.0,2.0,77.0,19.0,69.0,12.0,193.0,29.0,0.252,0.321,0.311,0.632,,
bridgro01,919.0,2272.0,245.0,562.0,80.0,11.0,16.0,187.0,10.0,15.0,229.0,79.0,222.0,53.0,712.0,107.0,0.247,0.308,0.313,0.621,0.0,0.0
bridwal01,1252.0,4169.0,457.0,1064.0,95.0,32.0,2.0,348.0,136.0,0.0,98.0,0.0,589.0,170.0,1229.0,129.0,0.255,0.335,0.295,0.63,0.0,0.0
briefbu01,184.0,569.0,61.0,127.0,25.0,9.0,5.0,59.0,17.0,6.0,95.0,0.0,68.0,32.0,185.0,39.0,0.223,0.29100000000000004,0.325,0.616,,
briggch01,49.0,182.0,29.0,31.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,46.0,11.0,0.17,0.218,0.253,0.47100000000000003,,
briggda01,325.0,688.0,67.0,134.0,20.0,6.0,12.0,53.0,2.0,7.0,133.0,16.0,61.0,11.0,202.0,38.0,0.195,0.257,0.294,0.551,,
brigggr01,110.0,378.0,46.0,62.0,7.0,5.0,0.0,22.0,9.0,0.0,17.0,0.0,23.0,1.0,79.0,12.0,0.16399999999999998,0.21100000000000002,0.209,0.42,,
briggjo02,1366.0,4117.0,601.0,1041.0,170.0,43.0,139.0,507.0,64.0,49.0,785.0,54.0,715.0,52.0,1714.0,352.0,0.253,0.36,0.41600000000000004,0.7759999999999999,0.0,0.0
brighha01,336.0,839.0,99.0,214.0,31.0,4.0,32.0,126.0,2.0,3.0,133.0,24.0,70.0,12.0,349.0,67.0,0.255,0.308,0.41600000000000004,0.7240000000000001,,
brignre01,356.0,857.0,80.0,188.0,34.0,4.0,12.0,83.0,9.0,7.0,238.0,17.0,61.0,10.0,266.0,50.0,0.21899999999999997,0.268,0.31,0.578,,
brilegr01,598.0,1518.0,172.0,384.0,75.0,9.0,29.0,135.0,65.0,25.0,260.0,31.0,134.0,20.0,564.0,113.0,0.253,0.31,0.37200000000000005,0.682,,
brinkbi01,9.0,18.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,5.0,1.0,0.222,0.3,0.278,0.578,,
brinkch01,149.0,267.0,22.0,46.0,7.0,0.0,1.0,12.0,0.0,0.0,60.0,7.0,25.0,15.0,56.0,8.0,0.172,0.231,0.21,0.441,,
brinked01,1846.0,6045.0,550.0,1355.0,201.0,38.0,60.0,461.0,30.0,35.0,845.0,162.0,528.0,111.0,1812.0,299.0,0.22399999999999998,0.282,0.3,0.5820000000000001,0.0,0.0
brinkle01,9.0,22.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,0.182,0.308,0.182,0.49,,
briodfa01,323.0,1186.0,134.0,271.0,52.0,7.0,3.0,115.0,6.0,0.0,113.0,0.0,45.0,0.0,346.0,62.0,0.228,0.257,0.292,0.5489999999999999,,
bristge01,3.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.125,0.222,0.25,0.47200000000000003,,
britobe01,40.0,73.0,10.0,16.0,3.0,0.0,5.0,12.0,0.0,1.0,27.0,2.0,2.0,1.0,34.0,8.0,0.21899999999999997,0.237,0.466,0.703,,
britojo01,26.0,65.0,6.0,12.0,3.0,0.0,0.0,7.0,1.0,0.0,25.0,1.0,6.0,2.0,15.0,3.0,0.185,0.247,0.231,0.478,,
britoju01,63.0,194.0,18.0,42.0,9.0,0.0,3.0,13.0,1.0,0.0,44.0,8.0,11.0,3.0,60.0,12.0,0.21600000000000003,0.255,0.309,0.564,,
britoso01,18.0,33.0,5.0,10.0,3.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,1.0,0.0,15.0,4.0,0.303,0.324,0.455,0.779,,
britoti01,92.0,252.0,27.0,60.0,12.0,1.0,3.0,21.0,2.0,1.0,56.0,2.0,25.0,6.0,83.0,16.0,0.23800000000000002,0.3,0.32899999999999996,0.629,,
brittgi01,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
brittgu01,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.33399999999999996,,
brockgr01,1013.0,3202.0,420.0,794.0,141.0,6.0,110.0,462.0,41.0,18.0,469.0,70.0,512.0,44.0,1277.0,257.0,0.248,0.348,0.39899999999999997,0.747,0.0,0.0
brockjo01,34.0,67.0,13.0,17.0,3.0,0.0,0.0,6.0,7.0,0.0,12.0,0.0,3.0,2.0,20.0,3.0,0.254,0.278,0.299,0.5770000000000001,,
brocklo01,2616.0,10332.0,1610.0,3023.0,486.0,141.0,149.0,900.0,938.0,307.0,1730.0,114.0,934.0,93.0,4238.0,776.0,0.293,0.348,0.41,0.758,0.7974683544303798,1.0
brockta01,13.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0,0.16699999999999998,0.375,0.16699999999999998,0.542,,
brodema01,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
brodist01,1437.0,5699.0,886.0,1726.0,191.0,89.0,25.0,900.0,289.0,0.0,148.0,0.0,552.0,63.0,2170.0,305.0,0.303,0.361,0.381,0.742,0.0,0.0
brognri01,848.0,2958.0,379.0,795.0,176.0,13.0,106.0,458.0,32.0,16.0,655.0,72.0,263.0,31.0,1315.0,295.0,0.26899999999999996,0.325,0.445,0.77,0.0,0.0
brohaja01,805.0,2500.0,262.0,613.0,91.0,12.0,30.0,227.0,9.0,17.0,178.0,53.0,252.0,65.0,818.0,133.0,0.245,0.307,0.327,0.634,0.0,0.0
bronkhe01,122.0,360.0,40.0,87.0,14.0,5.0,1.0,24.0,3.0,2.0,34.0,0.0,34.0,16.0,114.0,20.0,0.242,0.295,0.317,0.612,,
brookbo01,55.0,143.0,19.0,33.0,6.0,0.0,5.0,20.0,0.0,4.0,42.0,2.0,32.0,1.0,54.0,11.0,0.231,0.369,0.37799999999999995,0.747,,
brookhu01,1645.0,5974.0,656.0,1608.0,290.0,31.0,149.0,824.0,64.0,56.0,1005.0,163.0,487.0,77.0,2407.0,470.0,0.26899999999999996,0.32,0.40299999999999997,0.723,0.0,0.0
brookje01,17.0,14.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,3.0,0.28600000000000003,0.375,0.7140000000000001,1.089,,
brookma01,116.0,397.0,62.0,107.0,26.0,7.0,15.0,78.0,10.0,3.0,33.0,0.0,27.0,10.0,192.0,48.0,0.27,0.309,0.484,0.7929999999999999,,
brookto01,1336.0,3865.0,477.0,950.0,175.0,40.0,71.0,431.0,86.0,60.0,605.0,67.0,307.0,98.0,1418.0,286.0,0.24600000000000002,0.294,0.36700000000000005,0.6609999999999999,0.0,0.0
brosisc01,1146.0,3889.0,544.0,1001.0,200.0,8.0,141.0,531.0,57.0,30.0,699.0,84.0,407.0,72.0,1640.0,349.0,0.257,0.322,0.42200000000000004,0.7440000000000001,0.0,0.0
brosksi01,11.0,22.0,1.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,1.0,0.273,0.304,0.318,0.622,,
brottto01,62.0,135.0,10.0,29.0,3.0,0.0,0.0,13.0,1.0,1.0,22.0,0.0,9.0,1.0,32.0,3.0,0.215,0.262,0.237,0.499,,
brougca01,40.0,143.0,10.0,27.0,6.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,33.0,6.0,0.18899999999999997,0.21100000000000002,0.231,0.442,,
brouhma01,304.0,909.0,108.0,235.0,40.0,7.0,25.0,104.0,2.0,11.0,183.0,25.0,68.0,13.0,364.0,72.0,0.259,0.306,0.4,0.706,,
brousbe01,705.0,2136.0,275.0,561.0,114.0,13.0,87.0,314.0,15.0,7.0,466.0,37.0,219.0,19.0,962.0,214.0,0.263,0.32899999999999996,0.45,0.779,,
broutar01,37.0,144.0,18.0,30.0,5.0,1.0,0.0,14.0,4.0,0.0,0.0,0.0,6.0,10.0,37.0,6.0,0.20800000000000002,0.225,0.257,0.48200000000000004,,
broutda01,1673.0,6711.0,1523.0,2296.0,460.0,205.0,106.0,1296.0,256.0,0.0,238.0,0.0,945.0,2.0,3484.0,771.0,0.342,0.423,0.519,0.9420000000000001,0.0,0.0
brovijo01,21.0,18.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,0.111,0.15,0.111,0.261,,
browebo01,256.0,582.0,104.0,141.0,21.0,3.0,17.0,60.0,29.0,17.0,118.0,9.0,69.0,16.0,219.0,41.0,0.242,0.315,0.376,0.691,,
browefr01,450.0,1297.0,206.0,371.0,74.0,20.0,30.0,205.0,17.0,14.0,84.0,0.0,194.0,31.0,575.0,124.0,0.28600000000000003,0.371,0.44299999999999995,0.8140000000000001,,
browelo01,21.0,62.0,3.0,10.0,1.0,0.0,0.0,6.0,1.0,0.0,5.0,0.0,10.0,3.0,11.0,1.0,0.161,0.267,0.177,0.444,,
brown01,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
brownad01,447.0,1134.0,166.0,293.0,44.0,8.0,11.0,86.0,45.0,15.0,161.0,20.0,118.0,23.0,386.0,63.0,0.258,0.322,0.34,0.662,,
brownan02,144.0,328.0,37.0,72.0,14.0,0.0,14.0,45.0,3.0,2.0,101.0,9.0,29.0,5.0,128.0,28.0,0.22,0.27899999999999997,0.39,0.669,,
brownbi01,9.0,20.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.2,0.19,0.2,0.39,,
brownbo03,548.0,1619.0,233.0,452.0,62.0,14.0,22.0,237.0,9.0,10.0,88.0,43.0,224.0,19.0,608.0,98.0,0.27899999999999997,0.363,0.376,0.7390000000000001,,
brownbo04,502.0,1277.0,183.0,313.0,38.0,12.0,26.0,130.0,110.0,34.0,238.0,21.0,100.0,22.0,453.0,76.0,0.245,0.295,0.355,0.65,,
brownbr01,424.0,1056.0,142.0,261.0,52.0,11.0,45.0,146.0,15.0,14.0,316.0,11.0,90.0,10.0,470.0,108.0,0.247,0.304,0.445,0.7490000000000001,,
