,seasons_played,All-Star,TripleCrown,MVP,CYA,3000H,500HR,1500RBI,3000K,300W,300SV,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS,inducted
hickmji02,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1421.0,3974.0,518.0,1002.0,163.0,25.0,159.0,560.0,17.0,19.0,832.0,99.0,543.0,54.0,1692.0,347.0,0.252,0.33799999999999997,0.426,0.764,0.0
jacksso01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.0,3055.0,396.0,767.0,81.0,28.0,7.0,162.0,126.0,51.0,265.0,52.0,272.0,74.0,925.0,116.0,0.251,0.305,0.303,0.608,0.0
alouje01,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,4345.0,448.0,1216.0,170.0,26.0,32.0,377.0,31.0,46.0,267.0,143.0,200.0,64.0,1534.0,228.0,0.28,0.307,0.353,0.66,0.0
cartyri01,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1651.0,5606.0,712.0,1677.0,278.0,17.0,204.0,890.0,21.0,26.0,663.0,206.0,720.0,57.0,2601.0,499.0,0.299,0.376,0.46399999999999997,0.84,0.0
cardele01,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1941.0,6707.0,662.0,1725.0,285.0,49.0,118.0,689.0,39.0,48.0,1135.0,174.0,672.0,145.0,2462.0,452.0,0.257,0.319,0.36700000000000005,0.6859999999999999,0.0
brownga01,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051.0,2262.0,330.0,582.0,78.0,19.0,84.0,322.0,30.0,8.0,275.0,54.0,275.0,26.0,950.0,181.0,0.257,0.33399999999999996,0.42,0.754,0.0
beckegl01,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,5208.0,685.0,1473.0,196.0,31.0,22.0,360.0,49.0,25.0,243.0,114.0,282.0,85.0,1797.0,249.0,0.28300000000000003,0.315,0.345,0.66,0.0
northji01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.0,4692.0,603.0,1254.0,218.0,42.0,153.0,610.0,39.0,38.0,635.0,128.0,529.0,44.0,2015.0,413.0,0.267,0.33899999999999997,0.429,0.768,0.0
bailebo01,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931.0,6082.0,772.0,1564.0,234.0,43.0,189.0,773.0,85.0,83.0,1126.0,195.0,936.0,92.0,2451.0,466.0,0.257,0.35200000000000004,0.40299999999999997,0.755,0.0
harrebu01,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533.0,4744.0,539.0,1120.0,136.0,45.0,7.0,267.0,127.0,60.0,653.0,53.0,686.0,117.0,1367.0,188.0,0.23600000000000002,0.326,0.28800000000000003,0.614,0.0
cardejo02,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,6964.0,936.0,1913.0,333.0,46.0,138.0,775.0,329.0,139.0,807.0,147.0,672.0,98.0,2752.0,517.0,0.275,0.33399999999999996,0.395,0.7290000000000001,0.0
scottge02,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2034.0,7433.0,957.0,1992.0,306.0,60.0,271.0,1051.0,69.0,57.0,1418.0,277.0,837.0,84.0,3231.0,637.0,0.268,0.33899999999999997,0.435,0.774,0.0
harrato01,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.0,7402.0,1115.0,1954.0,307.0,40.0,195.0,918.0,238.0,94.0,868.0,155.0,1267.0,148.0,2926.0,542.0,0.264,0.365,0.395,0.76,0.0
lanieha01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.0,3703.0,297.0,843.0,111.0,20.0,8.0,273.0,11.0,11.0,436.0,135.0,165.0,97.0,1018.0,139.0,0.228,0.254,0.275,0.529,0.0
callijo01,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1886.0,6652.0,926.0,1757.0,321.0,89.0,226.0,840.0,74.0,51.0,1064.0,98.0,764.0,94.0,2934.0,636.0,0.264,0.336,0.441,0.777,0.0
valenel01,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.0,3166.0,380.0,881.0,169.0,15.0,123.0,474.0,59.0,37.0,462.0,81.0,196.0,39.0,1449.0,307.0,0.278,0.317,0.45799999999999996,0.775,0.0
hargrmi01,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666.0,5564.0,783.0,1614.0,266.0,28.0,80.0,686.0,24.0,37.0,550.0,154.0,1093.0,111.0,2176.0,374.0,0.29,0.4,0.391,0.7909999999999999,0.0
jorgemi01,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.0,3421.0,429.0,833.0,132.0,13.0,95.0,426.0,58.0,44.0,589.0,64.0,608.0,56.0,1276.0,240.0,0.243,0.353,0.373,0.726,0.0
burroje01,16.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689.0,5536.0,720.0,1443.0,230.0,20.0,240.0,882.0,16.0,22.0,1135.0,148.0,911.0,67.0,2433.0,490.0,0.261,0.361,0.439,0.8,0.0
hebneri01,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908.0,6144.0,865.0,1694.0,273.0,57.0,203.0,890.0,38.0,40.0,741.0,105.0,856.0,111.0,2690.0,533.0,0.276,0.359,0.43799999999999994,0.797,0.0
lowenjo01,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,3476.0,510.0,881.0,137.0,18.0,116.0,441.0,128.0,78.0,596.0,58.0,485.0,57.0,1402.0,271.0,0.253,0.34,0.40299999999999997,0.743,0.0
remyje01,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.0,4455.0,605.0,1226.0,140.0,38.0,7.0,329.0,208.0,99.0,404.0,83.0,370.0,148.0,1463.0,185.0,0.275,0.321,0.32799999999999996,0.649,0.0
luzingr01,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1821.0,6505.0,880.0,1795.0,344.0,24.0,307.0,1128.0,37.0,31.0,1495.0,147.0,1024.0,80.0,3108.0,675.0,0.276,0.37,0.478,0.848,0.0
tenacge01,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1555.0,4390.0,653.0,1060.0,179.0,20.0,201.0,674.0,36.0,42.0,998.0,77.0,1133.0,60.0,1882.0,400.0,0.24100000000000002,0.39299999999999996,0.429,0.8220000000000001,0.0
moneydo01,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720.0,6215.0,798.0,1623.0,302.0,36.0,176.0,729.0,80.0,51.0,866.0,121.0,685.0,143.0,2525.0,514.0,0.261,0.32799999999999996,0.406,0.7340000000000001,0.0
knighra01,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.0,4829.0,490.0,1311.0,266.0,27.0,84.0,595.0,14.0,25.0,579.0,169.0,422.0,83.0,1883.0,377.0,0.271,0.325,0.39,0.715,0.0
speiech01,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2260.0,7156.0,770.0,1759.0,302.0,50.0,112.0,720.0,42.0,54.0,988.0,183.0,988.0,117.0,2497.0,464.0,0.24600000000000002,0.33299999999999996,0.349,0.682,0.0
sundbji01,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962.0,6021.0,621.0,1493.0,243.0,36.0,95.0,624.0,20.0,37.0,963.0,159.0,752.0,156.0,2093.0,374.0,0.248,0.324,0.348,0.672,0.0
lemonch01,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988.0,6868.0,973.0,1875.0,396.0,61.0,215.0,884.0,58.0,76.0,1024.0,174.0,946.0,104.0,3038.0,672.0,0.273,0.35600000000000004,0.442,0.7979999999999999,0.0
dykstle01,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.0,4559.0,802.0,1298.0,281.0,43.0,81.0,404.0,285.0,72.0,503.0,39.0,721.0,52.0,1908.0,405.0,0.285,0.379,0.419,0.7979999999999999,0.0
wallati01,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2212.0,8099.0,908.0,2085.0,432.0,36.0,260.0,1125.0,51.0,66.0,1307.0,192.0,815.0,83.0,3369.0,728.0,0.257,0.322,0.41600000000000004,0.738,0.0
dempsri01,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.0,4692.0,525.0,1093.0,223.0,12.0,96.0,471.0,20.0,19.0,736.0,131.0,623.0,105.0,1628.0,331.0,0.233,0.317,0.34700000000000003,0.664,0.0
kennete02,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1491.0,4979.0,474.0,1313.0,244.0,12.0,113.0,628.0,6.0,15.0,855.0,125.0,467.0,61.0,1920.0,369.0,0.264,0.32299999999999995,0.386,0.7090000000000001,0.0
puhlte01,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1531.0,4855.0,676.0,1361.0,226.0,56.0,62.0,435.0,217.0,99.0,507.0,59.0,580.0,93.0,1885.0,344.0,0.28,0.35100000000000003,0.38799999999999996,0.7390000000000001,0.0
daultda01,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1161.0,3630.0,511.0,891.0,197.0,25.0,137.0,588.0,50.0,10.0,726.0,35.0,711.0,53.0,1549.0,359.0,0.245,0.365,0.42700000000000005,0.792,0.0
tartada01,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1406.0,5011.0,756.0,1366.0,289.0,22.0,262.0,925.0,37.0,30.0,1362.0,110.0,832.0,46.0,2485.0,573.0,0.273,0.373,0.496,0.8690000000000001,0.0
smithlo01,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.0,5170.0,909.0,1488.0,273.0,58.0,98.0,533.0,370.0,140.0,849.0,69.0,734.0,67.0,2171.0,429.0,0.28800000000000003,0.37200000000000005,0.42,0.792,0.0
pendlte01,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,7032.0,851.0,1897.0,356.0,39.0,140.0,946.0,127.0,59.0,979.0,178.0,578.0,104.0,2751.0,535.0,0.27,0.321,0.391,0.7120000000000001,0.0
fieldce01,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0,5157.0,744.0,1313.0,200.0,7.0,319.0,1008.0,2.0,6.0,1316.0,169.0,812.0,46.0,2484.0,526.0,0.255,0.353,0.48200000000000004,0.835,0.0
krukjo01,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,3897.0,582.0,1170.0,199.0,34.0,100.0,592.0,58.0,31.0,701.0,92.0,734.0,55.0,1737.0,333.0,0.3,0.406,0.446,0.852,0.0
steinte01,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546.0,5369.0,638.0,1453.0,273.0,21.0,162.0,745.0,23.0,22.0,938.0,176.0,497.0,61.0,2254.0,456.0,0.271,0.32899999999999996,0.42,0.7490000000000001,0.0
phillto02,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2161.0,7617.0,1300.0,2023.0,360.0,50.0,160.0,819.0,177.0,114.0,1499.0,127.0,1405.0,132.0,2963.0,570.0,0.266,0.374,0.389,0.763,0.0
weisswa01,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.0,4686.0,623.0,1207.0,182.0,31.0,25.0,386.0,96.0,35.0,658.0,75.0,736.0,131.0,1526.0,238.0,0.258,0.35,0.326,0.6759999999999999,0.0
seguida01,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456.0,4847.0,683.0,1412.0,284.0,16.0,139.0,684.0,17.0,19.0,687.0,131.0,594.0,64.0,2145.0,439.0,0.29100000000000004,0.364,0.44299999999999995,0.807,0.0
justida01,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610.0,5625.0,929.0,1571.0,280.0,24.0,305.0,1017.0,53.0,46.0,999.0,101.0,1006.0,55.0,2814.0,609.0,0.27899999999999997,0.385,0.5,0.885,0.0
knoblch01,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.0,6366.0,1132.0,1839.0,322.0,64.0,98.0,615.0,407.0,117.0,730.0,116.0,965.0,76.0,2583.0,484.0,0.289,0.379,0.406,0.785,0.0
dunstsh01,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1814.0,5927.0,736.0,1597.0,292.0,62.0,150.0,668.0,212.0,82.0,1000.0,98.0,288.0,105.0,2463.0,504.0,0.26899999999999996,0.298,0.41600000000000004,0.7140000000000001,0.0
buhneja01,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,5013.0,798.0,1273.0,233.0,19.0,310.0,965.0,6.0,24.0,1406.0,123.0,889.0,66.0,2474.0,562.0,0.254,0.36200000000000004,0.494,0.856,0.0
erstada01,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1654.0,6024.0,913.0,1697.0,316.0,33.0,124.0,699.0,179.0,58.0,939.0,87.0,558.0,79.0,2451.0,473.0,0.282,0.33899999999999997,0.40700000000000003,0.746,0.0
younger01,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.0,6119.0,996.0,1731.0,327.0,46.0,79.0,543.0,465.0,168.0,462.0,135.0,763.0,128.0,2387.0,452.0,0.28300000000000003,0.35600000000000004,0.39,0.746,0.0
lopezja01,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503.0,5319.0,674.0,1527.0,267.0,19.0,260.0,864.0,8.0,19.0,969.0,172.0,466.0,51.0,2612.0,546.0,0.287,0.342,0.491,0.833,0.0
santibe01,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.0,6951.0,755.0,1830.0,323.0,41.0,217.0,920.0,91.0,69.0,1270.0,205.0,520.0,96.0,2886.0,581.0,0.263,0.311,0.415,0.726,0.0
boonebr01,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1780.0,6683.0,927.0,1775.0,366.0,28.0,252.0,1021.0,94.0,53.0,1295.0,168.0,653.0,128.0,2953.0,646.0,0.266,0.325,0.442,0.767,0.0
otisam01,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,7299.0,1092.0,2020.0,374.0,66.0,193.0,1007.0,341.0,93.0,1008.0,158.0,843.0,157.0,3105.0,633.0,0.27699999999999997,0.345,0.425,0.77,0.0
outlaji01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,1974.0,257.0,529.0,79.0,17.0,6.0,184.0,24.0,21.0,176.0,41.0,193.0,24.0,660.0,102.0,0.268,0.33,0.33399999999999996,0.664,0.0
prattto02,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,1612.0,194.0,404.0,84.0,3.0,49.0,224.0,6.0,2.0,454.0,39.0,252.0,21.0,641.0,136.0,0.251,0.348,0.39799999999999996,0.746,0.0
prattde01,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1836.0,6826.0,856.0,1996.0,392.0,117.0,43.0,970.0,247.0,108.0,360.0,0.0,550.0,233.0,2751.0,552.0,0.292,0.335,0.40299999999999997,0.738,0.0
omallto01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,1213.0,117.0,310.0,54.0,5.0,13.0,131.0,2.0,8.0,151.0,37.0,155.0,15.0,413.0,72.0,0.256,0.336,0.34,0.6759999999999999,0.0
pytlafr01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,2399.0,316.0,677.0,100.0,36.0,7.0,272.0,56.0,29.0,97.0,13.0,271.0,43.0,870.0,143.0,0.282,0.349,0.363,0.7120000000000001,0.0
olsoniv01,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1574.0,6111.0,730.0,1575.0,191.0,69.0,13.0,446.0,156.0,36.0,222.0,0.0,321.0,198.0,1943.0,273.0,0.258,0.28600000000000003,0.318,0.604,0.0
oneilmi02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,1995.0,177.0,475.0,41.0,23.0,4.0,179.0,18.0,13.0,127.0,0.0,151.0,55.0,574.0,68.0,0.23800000000000002,0.284,0.28800000000000003,0.5720000000000001,0.0
purcebl01,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.0,4563.0,767.0,1217.0,177.0,60.0,13.0,495.0,197.0,0.0,170.0,0.0,312.0,0.0,1553.0,250.0,0.267,0.314,0.34,0.654,0.0
quinnjo02,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1768.0,6879.0,891.0,1797.0,228.0,70.0,29.0,794.0,268.0,0.0,214.0,0.0,403.0,52.0,2252.0,327.0,0.261,0.3,0.327,0.627,0.0
oleartr01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0,4010.0,547.0,1100.0,234.0,40.0,127.0,591.0,17.0,22.0,661.0,108.0,393.0,46.0,1795.0,401.0,0.27399999999999997,0.336,0.44799999999999995,0.784,0.0
quirkja01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,2266.0,193.0,544.0,100.0,7.0,43.0,247.0,5.0,16.0,435.0,57.0,212.0,46.0,787.0,150.0,0.24,0.3,0.34700000000000003,0.647,0.0
oldriru01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1239.0,4690.0,616.0,1268.0,205.0,76.0,27.0,471.0,197.0,22.0,125.0,0.0,251.0,155.0,1706.0,308.0,0.27,0.298,0.364,0.662,0.0
olivebo01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0,2914.0,293.0,745.0,102.0,19.0,94.0,419.0,17.0,14.0,562.0,101.0,201.0,34.0,1167.0,215.0,0.256,0.3,0.4,0.7,0.0
olivege01,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,2216.0,268.0,546.0,111.0,5.0,93.0,320.0,24.0,21.0,420.0,62.0,252.0,21.0,946.0,209.0,0.24600000000000002,0.321,0.42700000000000005,0.748,0.0
olivejo01,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.0,3367.0,320.0,831.0,174.0,3.0,102.0,476.0,13.0,13.0,637.0,93.0,315.0,68.0,1317.0,279.0,0.247,0.306,0.391,0.6970000000000001,0.0
questjo01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,2295.0,300.0,499.0,78.0,17.0,1.0,161.0,5.0,0.0,161.0,0.0,107.0,0.0,614.0,96.0,0.217,0.252,0.268,0.52,0.0
princto01,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,1190.0,113.0,248.0,66.0,4.0,24.0,140.0,9.0,8.0,252.0,36.0,140.0,33.0,394.0,94.0,0.20800000000000002,0.285,0.331,0.616,0.0
ortizju01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,1894.0,142.0,484.0,71.0,4.0,5.0,186.0,8.0,18.0,222.0,58.0,146.0,38.0,578.0,80.0,0.256,0.303,0.305,0.608,0.0
pridecu01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,796.0,132.0,199.0,39.0,12.0,20.0,82.0,29.0,14.0,211.0,17.0,94.0,10.0,322.0,71.0,0.25,0.326,0.405,0.731,0.0
osikke01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,1123.0,96.0,259.0,55.0,4.0,13.0,108.0,6.0,4.0,202.0,29.0,132.0,14.0,361.0,72.0,0.231,0.308,0.321,0.629,0.0
priddje01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296.0,4720.0,612.0,1252.0,232.0,46.0,61.0,541.0,44.0,44.0,639.0,136.0,637.0,71.0,1759.0,339.0,0.265,0.348,0.373,0.721,0.0
orourfr01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.0,4069.0,547.0,1032.0,196.0,42.0,15.0,430.0,100.0,59.0,377.0,0.0,367.0,170.0,1357.0,253.0,0.254,0.304,0.33299999999999996,0.637,0.0
orourji01,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.0,8505.0,1729.0,2643.0,465.0,151.0,62.0,1203.0,224.0,8.0,360.0,0.0,546.0,0.0,3596.0,678.0,0.311,0.35200000000000004,0.423,0.775,0.0
oneilti01,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.0,4255.0,880.0,1386.0,222.0,92.0,52.0,757.0,161.0,0.0,146.0,0.0,465.0,0.0,1948.0,366.0,0.326,0.392,0.45799999999999996,0.85,0.0
oquenjo01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.0,3202.0,339.0,821.0,104.0,24.0,14.0,254.0,35.0,33.0,376.0,65.0,511.0,82.0,1015.0,142.0,0.256,0.35100000000000003,0.317,0.6679999999999999,0.0
ortajo01,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.0,5829.0,733.0,1619.0,267.0,63.0,130.0,745.0,79.0,60.0,715.0,125.0,575.0,100.0,2402.0,460.0,0.278,0.337,0.41200000000000003,0.7490000000000001,0.0
orsuljo01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494.0,4293.0,559.0,1173.0,186.0,37.0,57.0,405.0,93.0,60.0,402.0,69.0,375.0,80.0,1604.0,280.0,0.273,0.326,0.374,0.7,0.0
orrda01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0,3289.0,536.0,1125.0,198.0,108.0,37.0,627.0,66.0,0.0,50.0,0.0,122.0,0.0,1650.0,343.0,0.342,0.366,0.502,0.868,0.0
pryorgr01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,1883.0,204.0,471.0,85.0,9.0,14.0,146.0,11.0,12.0,185.0,60.0,115.0,52.0,616.0,108.0,0.25,0.28600000000000003,0.327,0.613,0.0
pruitro01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,795.0,88.0,214.0,28.0,4.0,12.0,92.0,8.0,7.0,90.0,26.0,103.0,14.0,286.0,44.0,0.26899999999999996,0.348,0.36,0.708,0.0
pikeli01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,1983.0,433.0,637.0,119.0,53.0,20.0,332.0,47.0,15.0,54.0,0.0,49.0,0.0,922.0,192.0,0.321,0.33799999999999997,0.465,0.8029999999999999,0.0
piersji01,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1734.0,5890.0,811.0,1604.0,256.0,52.0,104.0,591.0,115.0,57.0,583.0,161.0,572.0,152.0,2276.0,412.0,0.272,0.32899999999999996,0.386,0.715,0.0
pepitjo01,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,5097.0,606.0,1315.0,158.0,35.0,219.0,721.0,41.0,32.0,526.0,124.0,403.0,49.0,2200.0,412.0,0.258,0.31,0.43200000000000005,0.742,0.0
pinknge01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.0,4610.0,874.0,1212.0,170.0,56.0,21.0,539.0,296.0,0.0,135.0,0.0,579.0,0.0,1557.0,247.0,0.263,0.345,0.33799999999999997,0.6829999999999999,0.0
peacojo01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,1734.0,175.0,455.0,74.0,16.0,1.0,194.0,14.0,6.0,73.0,33.0,184.0,20.0,564.0,91.0,0.262,0.33,0.325,0.655,0.0
pearsal02,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,3077.0,485.0,831.0,130.0,24.0,28.0,214.0,77.0,33.0,195.0,43.0,501.0,60.0,1093.0,182.0,0.27,0.366,0.355,0.721,0.0
perezed01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.0,1800.0,238.0,445.0,88.0,3.0,79.0,294.0,19.0,13.0,393.0,53.0,226.0,21.0,776.0,170.0,0.247,0.32799999999999996,0.431,0.759,0.0
perezed02,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,1525.0,137.0,386.0,85.0,2.0,40.0,172.0,1.0,4.0,234.0,54.0,107.0,27.0,595.0,127.0,0.253,0.297,0.39,0.687,0.0
phelpke01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,1854.0,308.0,443.0,64.0,7.0,123.0,313.0,10.0,7.0,449.0,25.0,439.0,22.0,890.0,194.0,0.239,0.381,0.48,0.861,0.0
phelpjo01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,1394.0,198.0,380.0,74.0,6.0,64.0,244.0,2.0,2.0,397.0,42.0,158.0,6.0,658.0,144.0,0.273,0.345,0.47200000000000003,0.8170000000000001,0.0
phelped01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,1832.0,186.0,460.0,45.0,20.0,3.0,205.0,31.0,0.0,46.0,0.0,200.0,60.0,554.0,68.0,0.251,0.315,0.302,0.617,0.0
phelpba01,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,2117.0,239.0,657.0,143.0,19.0,54.0,345.0,9.0,0.0,157.0,64.0,173.0,16.0,1000.0,216.0,0.31,0.36,0.47200000000000003,0.8320000000000001,0.0
phillbu02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.0,3278.0,348.0,835.0,135.0,8.0,62.0,356.0,25.0,11.0,314.0,81.0,237.0,73.0,1172.0,205.0,0.255,0.299,0.358,0.657,0.0
