,seasons_played,All-Star,TripleCrown,MVP,CYA,3000H,500HR,1500RBI,3000K,300W,300SV,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS,inducted
griffke01,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2097.0,7229.0,1129.0,2143.0,364.0,77.0,152.0,859.0,200.0,83.0,898.0,106.0,784.0,86.0,3117.0,593.0,0.29600000000000004,0.361,0.431,0.792,0.0
thomsbo01,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779.0,6305.0,903.0,1705.0,267.0,74.0,264.0,1026.0,38.0,20.0,804.0,159.0,616.0,59.0,2912.0,605.0,0.27,0.33299999999999996,0.462,0.795,0.0
madlobi01,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1806.0,6594.0,920.0,2008.0,348.0,34.0,163.0,860.0,174.0,90.0,510.0,190.0,794.0,105.0,2913.0,545.0,0.305,0.374,0.442,0.816,0.0
clarkwi02,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1976.0,7173.0,1186.0,2176.0,440.0,47.0,284.0,1205.0,67.0,48.0,1190.0,100.0,1151.0,114.0,3562.0,771.0,0.303,0.39399999999999996,0.49700000000000005,0.8909999999999999,0.0
lindsfr01,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438.0,5611.0,895.0,1747.0,301.0,81.0,103.0,779.0,84.0,10.0,276.0,35.0,347.0,146.0,2519.0,485.0,0.311,0.34299999999999997,0.449,0.792,0.0
oliveal01,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2368.0,9049.0,1189.0,2743.0,529.0,77.0,219.0,1326.0,84.0,64.0,756.0,254.0,736.0,112.0,4083.0,825.0,0.303,0.35200000000000004,0.451,0.8029999999999999,0.0
motama01,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,3779.0,496.0,1149.0,125.0,52.0,31.0,438.0,50.0,42.0,320.0,99.0,360.0,131.0,1471.0,208.0,0.304,0.353,0.389,0.742,0.0
crawfsa01,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2517.0,9570.0,1391.0,2961.0,458.0,309.0,97.0,1525.0,366.0,30.0,104.0,0.0,783.0,241.0,4328.0,864.0,0.309,0.353,0.452,0.805,0.0
schanwa01,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1842.0,5307.0,769.0,1506.0,264.0,90.0,59.0,710.0,121.0,49.0,573.0,0.0,956.0,160.0,2127.0,413.0,0.284,0.38299999999999995,0.401,0.784,0.0
gracema01,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2245.0,8065.0,1179.0,2445.0,511.0,45.0,173.0,1146.0,70.0,48.0,642.0,191.0,1224.0,116.0,3565.0,729.0,0.303,0.39,0.442,0.8320000000000001,0.0
galaran01,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2257.0,8096.0,1195.0,2333.0,444.0,32.0,399.0,1425.0,128.0,81.0,2003.0,179.0,867.0,59.0,4038.0,875.0,0.28800000000000003,0.355,0.499,0.8540000000000001,0.0
crandde01,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573.0,5026.0,585.0,1276.0,179.0,18.0,179.0,657.0,26.0,28.0,477.0,162.0,540.0,110.0,2028.0,376.0,0.254,0.32,0.40399999999999997,0.7240000000000001,0.0
whitefr01,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2324.0,7859.0,912.0,2006.0,407.0,58.0,160.0,886.0,178.0,83.0,1035.0,156.0,469.0,166.0,3009.0,625.0,0.255,0.29100000000000004,0.38299999999999995,0.674,0.0
delgaca01,17.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2035.0,7283.0,1241.0,2038.0,483.0,18.0,473.0,1512.0,14.0,8.0,1745.0,152.0,1467.0,93.0,3976.0,974.0,0.28,0.396,0.546,0.9420000000000001,0.0
mccarti01,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1909.0,5529.0,590.0,1501.0,242.0,57.0,97.0,645.0,61.0,49.0,422.0,99.0,697.0,99.0,2148.0,396.0,0.271,0.348,0.38799999999999996,0.736,0.0
cartejo01,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2189.0,8422.0,1170.0,2184.0,432.0,53.0,396.0,1445.0,231.0,66.0,1387.0,132.0,703.0,115.0,3910.0,881.0,0.259,0.312,0.46399999999999997,0.7759999999999999,0.0
belanma01,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,5784.0,676.0,1316.0,175.0,33.0,20.0,389.0,167.0,75.0,839.0,83.0,640.0,200.0,1617.0,228.0,0.228,0.295,0.28,0.575,0.0
simmote01,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.0,8680.0,1074.0,2472.0,483.0,47.0,248.0,1389.0,21.0,33.0,694.0,287.0,1082.0,111.0,3793.0,778.0,0.285,0.36,0.43700000000000006,0.797,0.0
dobyla01,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533.0,5348.0,960.0,1515.0,243.0,52.0,253.0,970.0,47.0,36.0,1011.0,97.0,928.0,45.0,2621.0,548.0,0.28300000000000003,0.386,0.49,0.8759999999999999,0.0
scottev01,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1654.0,5837.0,552.0,1455.0,208.0,58.0,20.0,551.0,69.0,60.0,282.0,0.0,261.0,275.0,1839.0,286.0,0.249,0.26899999999999996,0.315,0.584,0.0
loftoke01,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2103.0,8120.0,1528.0,2428.0,383.0,116.0,130.0,781.0,622.0,160.0,1016.0,109.0,1020.0,137.0,3433.0,629.0,0.299,0.37200000000000005,0.423,0.795,0.0
campabe01,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2328.0,8684.0,1181.0,2249.0,313.0,86.0,79.0,646.0,649.0,199.0,1142.0,106.0,697.0,259.0,2971.0,478.0,0.259,0.306,0.342,0.648,0.0
tennefr02,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.0,7595.0,1278.0,2231.0,270.0,77.0,22.0,688.0,285.0,0.0,43.0,0.0,937.0,275.0,2721.0,369.0,0.294,0.36,0.358,0.718,0.0
