player_id,seasons_played,All-Star,TripleCrown,MVP,CYA,3000H,500HR,1500RBI,3000K,300W,300SV,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB,inducted
powerte01,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,69,564,5,3,70,3480.0,1159,515,97,701,542.0,4.0,1.466,0.261,5.44,4.21,1.29,0.0
pottene01,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,97,349,89,6,22,5058.0,1721,748,123,747,603.0,3.99,1.3780000000000001,0.259,3.99,3.22,1.24,0.0
plesada01,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,71,1064,0,0,158,3216.0,977,433,105,1041,473.0,3.64,1.3530000000000002,0.24100000000000002,8.74,3.97,2.2,0.0
plunker01,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,58,714,0,0,35,3453.0,1009,488,122,1081,724.0,3.82,1.506,0.23399999999999999,8.45,5.66,1.49,0.0
passecl01,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162,150,444,188,26,21,8159.0,2856,1003,105,1104,767.0,3.32,1.3319999999999999,0.263,3.65,2.54,1.44,0.0
pattebo01,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,40,559,0,0,28,1852.0,619,280,70,483,227.0,4.08,1.37,0.262,7.04,3.31,2.13,0.0
pizarju01,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131,105,488,79,17,28,6103.0,1807,776,201,1522,996.0,3.43,1.3780000000000001,0.235,6.73,4.41,1.53,0.0
pattima01,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,109,475,64,14,25,6116.0,1933,820,209,1179,723.0,3.62,1.3030000000000002,0.249,5.2,3.19,1.63,0.0
parmero01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,55,206,55,5,3,3361.0,1075,532,68,514,586.0,4.27,1.483,0.248,4.13,4.71,0.88,0.0
parneme01,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,75,289,113,20,10,5258.0,1715,682,104,732,789.0,3.5,1.429,0.254,3.76,4.05,0.93,0.0
politcl01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,23,330,0,0,15,1234.0,393,201,56,342,208.0,4.4,1.4609999999999999,0.255,7.48,4.55,1.64,0.0
polleho01,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131,116,403,116,25,20,6322.0,2096,821,146,934,772.0,3.51,1.361,0.255,3.99,3.3,1.21,0.0
podbibu01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,42,172,20,2,3,1923.0,693,320,79,242,262.0,4.49,1.49,0.27399999999999997,3.4,3.68,0.92,0.0
parreje01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,43,491,0,0,22,2174.0,672,306,61,616,413.0,3.8,1.4969999999999999,0.248,7.65,5.13,1.49,0.0
mullige01,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228,196,487,353,35,8,11060.0,3518,1156,42,1482,1369.0,2.82,1.3259999999999998,0.247,3.62,3.34,1.08,0.0
mcgafan01,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,33,363,3,1,24,2500.0,773,313,55,610,348.0,3.38,1.345,0.245,6.59,3.76,1.75,0.0
mcelrch01,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,30,654,0,0,17,2218.0,724,320,66,604,419.0,3.9,1.546,0.258,7.35,5.1,1.44,0.0
mcdowsa01,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,134,425,103,23,14,7477.0,1948,879,164,2453,1445.0,3.17,1.361,0.213,8.86,5.22,1.7,0.0
mcdowro01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,70,723,0,0,159,3150.0,1045,385,50,524,536.0,3.3,1.506,0.262,4.49,4.59,0.98,0.0
mcgloji01,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,77,256,36,11,3,3901.0,1247,522,125,709,473.0,3.61,1.3230000000000002,0.252,4.91,3.27,1.5,0.0
mcgrabo01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,38,168,17,1,6,1774.0,677,317,31,164,275.0,4.82,1.61,0.29,2.5,4.19,0.6,0.0
mcgloly01,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,93,318,41,13,2,4493.0,1553,663,127,939,660.0,3.98,1.4780000000000002,0.267,5.64,3.97,1.42,0.0
mcclubo01,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,57,698,12,1,52,3476.0,1125,490,104,701,570.0,3.81,1.463,0.254,5.45,4.43,1.23,0.0
mcdermi03,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,69,291,54,11,14,3950.0,1161,572,87,757,874.0,3.91,1.546,0.23600000000000002,5.17,5.97,0.87,0.0
mccorji01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,214,492,466,33,1,12827.0,4092,1155,83,1704,761.0,2.43,1.135,0.254,3.59,1.6,2.24,0.0
mccormi03,17.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134,128,484,91,23,12,7141.0,2281,986,255,1321,920.0,3.73,1.345,0.25,4.99,3.48,1.44,0.0
mendora01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,40,342,2,2,16,2391.0,891,381,82,463,239.0,4.3,1.4180000000000001,0.282,5.23,2.7,1.94,0.0
